,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,,,,,,,,,,,,,,,,,,,,,,,,
,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,,,,,,,Lunes,Martes,Miercoles,Jueves,,materia,materia,materia,,,,,,,,RESTRICCION,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPOS,lunes,martes,miercoles,jueves,,3,4,5,,,suma,,HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
M6_1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,M6,,,M6_1,,#REF!,5,0,0,0,,3,0,0,,,3,,3,2,2,2,2,2
M6_2,1,1,2,1,1,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,2,1,1,1000,1000,1000,1000,1000,1000,1000,,,,M6_2,,#REF!,6,0,0,0,,3,0,0,,,3,,3,2,2,2,2,2
M7_1,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,M7,,,M7_1,,#REF!,4,4,4,4,,3,0,0,,,3,,3,2,2,2,2,2
M7_2,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1,1000,1000,1000,1000,1000,1000,,,,M7_2,,#REF!,4,4,4,4,,3,0,0,,,3,,3,2,2,2,2,2
M10_1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,M10,,,M10_1,,#REF!,4,5,5,5,,0,0,5,,,5,,5,2,2,2,2,2
M10_2,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,,,,M10_2,,#REF!,4,5,5,5,,0,0,5,,,5,,5,2,2,2,2,2
M15_1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,M15,,,M15_1,,#REF!,2,4,4,4,,0,0,5,,,5,,5,2,2,2,2,2
M15_2,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,M15_2,,#REF!,2,4,4,4,,0,0,5,,,5,,5,2,2,2,2,2
M18_1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,M18,,,M18_1,,#REF!,6,6,6,6,,0,0,5,,,5,,5,2,2,2,2,2
M18_2,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,,,,M18_2,,#REF!,6,6,6,6,,0,0,5,,,5,,5,2,2,2,2,2
M19_1,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,M19,,,M19_1,,#REF!,4,4,2,3,,3,0,0,,,3,,3,2,2,2,2,2
M19_2,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,,,,M19_2,,#REF!,4,4,2,3,,3,0,0,,,3,,3,2,2,2,2,2
M22_1,1000,1000,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,M22,,,M22_1,,#REF!,4,2,4,0,,0,0,5,,,5,,5,2,2,2,2,2
M22_2,1000,1000,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,M22_2,,#REF!,4,2,4,0,,0,0,5,,,5,,5,2,2,2,2,2
M23_1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,M23,,,M23_1,,#REF!,2,2,2,2,,0,0,5,,,5,,5,2,2,2,2,2
M23_2,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,,,,M23_2,,#REF!,2,2,2,2,,0,0,5,,,5,,5,2,2,2,2,2
M25_1,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,M25,,,M25_1,,#REF!,5,5,5,5,,0,4,0,,,4,,4,2,2,2,2,2
