,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M9,1000,1000,1000,1000,1,5,1000,1000,1000,1,5,1000,1,1000,1000,1000,1,1000,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Costo_1,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estadistica ,Probabilidad ,Mat. Discretas ,Algebra L.,Calculo Diferencial ,Calculo Integral ,Calculo Multivariable ,Ecs. Diferenciales ,Metodos Numericos ,Matematicas 1,Matematicas 2,Matematicas 3,PRECALCULO,Int. Termodinamica ,Fisica I,Fisica II,Quimica ,Elec. y Magnetismo ,suma,,DISPONIBILIDAD,,HRS por ENTREGAR,,MATERIA,MATERIA,MATERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horas de materia,3,3,3,3,5,5,5,5,4,4,4,4,5,4,5,5,3,3,,,,,,,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,3,,1,0,0,M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,3,,1,0,0,M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,5,,0,0,1,M3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,1,,4,,0,1,0,M4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,3,,1,0,0,M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,,3,,1,0,0,M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,1,,5,,0,0,1,M20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,1,,4,,0,1,0,M21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,2,,10,,0,0,2,M5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,,6,,2,0,0,M6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,2,,6,,2,0,0,M7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,,2,,10,,0,0,2,M10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,,2,,10,,0,0,2,M15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
